coverage_id,source_page_start,source_page_end,section_number,heading,item_type,treatment,owner_key,render_location,readiness_check,status,review_note
COV-256,86,88,Section VII,"SCC row - GCC 23.2: Packing, marking and documentation detail",blank,Locked,,"complete_tender.html - SCC GCC 23.2, fixed Version 1.0 wording",fixed text present verbatim; no officer field,Reviewed,"Resolved 2026-08-28 (Gate C): renders as Locked fixed Version 1.0 wording, not an officer field. STD-TPL-001 v0.3 S7.2's Task 5 list does not include packing/marking detail. Any item-specific requirement belongs in the approved technical specification or goods schedule instead."
COV-257,86,88,Section VII,"SCC row - GCC 24.1: Insurance coverage, if not per Incoterms",blank,Locked,Section VII - fixed Incoterms/release treatment,complete_tender.html - Section VII - Special Conditions of Contract,STD-TPL-001 S10 'Insurance and transport | Fixed Incoterms/release treatment',Reviewed,
COV-258,86,88,Section VII,"SCC row - GCC 25.1: Transportation responsibility, if not per Incoterms",blank,Locked,Section VII - fixed Incoterms/release treatment,complete_tender.html - Section VII - Special Conditions of Contract,STD-TPL-001 S10 'Insurance and transport | Fixed Incoterms/release treatment',Reviewed,
COV-259,86,88,Section VII,SCC row - GCC 25.2: Incidental services to be provided,blank,Generated,related_services,complete_tender.html - Section VII - Special Conditions of Contract,"carried from the Task 2 related-services rows, when applicable (S8.2)",Reviewed,
COV-260,86,88,Section VII,"SCC row - GCC 26.1: Nature, frequency and procedures of inspections and tests",blank,Officer value,contract.inspection_acceptance_office,complete_tender.html - Section VII - Special Conditions of Contract,STD-TPL-001 S10 'Inspection and tests | Approved technical specification and officer acceptance location',Reviewed,
COV-261,86,88,Section VII,SCC row - GCC 26.2: Location(s) where inspections and tests are conducted,blank,Officer value,contract.inspection_acceptance_office,complete_tender.html - Section VII - Special Conditions of Contract,present in Task 5,Reviewed,
COV-262,86,88,Section VII,SCC row - GCC 27.1: Liquidated (delay) damages rate per week,blank,Officer value,contract.delay_damages.rate_per_week,complete_tender.html - Section VII - Special Conditions of Contract,present in Task 5; S13 fixture: 0.5% per week,Reviewed,
COV-263,86,88,Section VII,SCC row - GCC 27.1: Maximum amount of liquidated damages (cap),blank,Officer value,contract.delay_damages.cap_percent,complete_tender.html - Section VII - Special Conditions of Contract,present in Task 5; S13 fixture: capped at 10%,Reviewed,
COV-264,86,88,Section VII,SCC row - GCC 28.3: Warranty validity period (days) and place(s) of final destination for warranty purposes,blank,Generated,goods (minimum_warranty per row),complete_tender.html - Section VII - Special Conditions of Contract,carried from the Task 2 goods rows; STD-TPL-001 S10 'Warranty and replacement period | Goods rows plus released SCC wording',Reviewed,
COV-265,86,88,Section VII,"SCC row - GCC 28.3: Sample alternative warranty provision (hours of operation / months from acceptance, remedy options)",blank,Not used by this released pattern,,complete_tender.html - Section VII - Special Conditions of Contract,N/A - clause not rendered,Reviewed,"This is an alternative 'Sample provision' wording block offered by the source for a different warranty structure; STD-TPL-001 S8.1 fixes minimum warranty as a single officer value per goods row, so the alternative hours-of-operation structure is not used."
COV-266,86,88,Section VII,"SCC row - GCC 28.5, GCC 28.6: Period for repair or replacement (days)",blank,Generated,goods (minimum_warranty per row) / contract.delay_damages,complete_tender.html - Section VII - Special Conditions of Contract,derived from the released warranty and delay-damages treatment; not a separate officer-entered value in S7,Reviewed,
COV-267,86,88,Section VII,SCC row - GCC 33.6: Value engineering proposal payment percentage,blank,Not used by this released pattern,,complete_tender.html - Section VII - Special Conditions of Contract,N/A - clause not rendered,Reviewed,Not named in STD-TPL-001 S7/S10; value-engineering change-order provisions are outside the scope of this narrow first release.
COV-268,89,89,Section VIII,Section VIII - Contract Forms (heading and lead-in note),heading,Locked,"Section VIII heading, unmodified",complete_tender.html - Section VIII heading,"present verbatim, unedited",Reviewed,"Gate D remediation - review sweep: Section VIII heading was missing its mandatory lead-in paragraph (""This Section contains forms which, once completed, will form part of the Contract..."") entirely. readiness_check claimed ""present verbatim, unedited"" - false as rendered. Unambiguous, low-risk, source-verbatim fix - restored directly in complete_tender.html."
COV-269,89,91,Section VIII,FORM No. 1: NOTIFICATION OF INTENTION TO AWARD,form,Award-derived,award.notification_of_intention.*,complete_tender.html - Section VIII - Form No. 1,"populated only at award stage, from the award decision",Reviewed,
COV-270,89,89,Section VIII,Notification of Intention to Award - Tenderer's Authorized Representative identity blanks,blank,Award-derived,award.tenderer.authorized_representative,complete_tender.html - Section VIII - Form No. 1,populated only at award stage,Reviewed,
COV-271,89,90,Section VIII,Notification of Intention to Award - Employer/Project/Contract title/Country/ITT No. blanks,blank,Inherited,procuring_entity.name; tender.title; tender.reference,complete_tender.html - Section VIII - Form No. 1,"prefilled, matches Tender identity",Reviewed,
COV-272,90,90,Section VIII,Notification of Intention to Award - successful tenderer name/address/contract price and other-tenderers price table,table,Award-derived,award.successful_tenderer.*; award.other_tenderers[],complete_tender.html - Section VIII - Form No. 1,"populated only at award stage, from the evaluation and award decision",Reviewed,
COV-273,90,91,Section VIII,Notification of Intention to Award - debriefing/complaint deadlines and Standstill Period dates,blank,Generated,award.standstill_period.*,complete_tender.html - Section VIII - Form No. 1,derived from the fixed Standstill Period rule and the transmission date,Reviewed,"Gate D remediation - review sweep: confirmed complete after this sweep's own restoration of the debriefing/complaint content (see COV coverage rows in the 269-274 range and open_issues.md items 32/34) - full debriefing/complaint/Standstill paragraph now covers all source sub-items. Also confirmed the render correctly resolves two internal inconsistencies present in the source itself (source page 91's ""three (5)""/""five (3)"" Business Day mismatch, and source page 92's ""ten (14)"" Standstill Period mismatch) in favour of the legally-consistent reading (3/5 Business Days, fourteen (14) Days)."
COV-274,91,91,Section VIII,Notification of Intention to Award - Employer signature block,blank,Inherited,procuring_entity.contact_office,complete_tender.html - Section VIII - Form No. 1,sourced from governed PE/platform data,Reviewed,"Gate D remediation - review sweep: dropped signature fields found. Form No.1's closing ""On behalf of the Procuring Entity"" signature block was missing the Telephone and Email fields present in source (source has 5 fields: Signature/Name/Title-position/Telephone/Email; only 3 were rendered). Unambiguous, low-risk, source-verbatim fix - Telephone and Email fields restored directly in complete_tender.html."
COV-275,92,92,Section VIII,FORM No. 2: REQUEST FOR REVIEW (Public Procurement Administrative Review Board form),form,Locked,Section VIII - Form No. 2,complete_tender.html - Section VIII - Form No. 2,fixed statutory wording present verbatim; completed only by an aggrieved Tenderer outside KenTender's Tender Preparation flow,Reviewed,
COV-276,93,93,Section VIII,FORM No. 3 - LETTER OF AWARD,form,Award-derived,award.*; contract.price,complete_tender.html - Section VIII - Form No. 3,"populated only at award stage, from the award decision",Reviewed,
COV-277,93,93,Section VIII,"Letter of Award - Supplier name/address, contract No., accepted amount blanks",blank,Award-derived,award.supplier.name; award.supplier.address; contract.price,complete_tender.html - Section VIII - Form No. 3,populated only at award stage,Reviewed,
COV-278,94,95,Section VIII,FORM NO. 4 - CONTRACT AGREEMENT,form,Award-derived,contract.agreement.*,complete_tender.html - Section VIII - Form No. 4,populated only at award/contract-formation stage,Reviewed,
COV-279,94,95,Section VIII,"Contract Agreement - date, Procuring Entity/Supplier identity and address, signatures blanks",blank,Award-derived,contract.agreement.date; award.supplier.name; award.supplier.address,complete_tender.html - Section VIII - Form No. 4,populated only at award/contract-formation stage,Reviewed,
COV-280,96,97,Section VIII,FORM No. 5 - PERFORMANCE SECURITY [Option 1 - Unconditional Demand Bank Guarantee],form,Officer value,contract.performance_security.form_variant,complete_tender.html - Section VIII - Form No. 5,selected variant per S6/GCC 18.3; blanks populated only at contract-formation stage,Reviewed,
COV-281,96,97,Section VIII,Performance Security (Option 1) - Beneficiary/amount/expiry blanks,blank,Award-derived,contract.performance_security.amount; contract.price; contract.agreement.date,complete_tender.html - Section VIII - Form No. 5,populated only at award/contract-formation stage,Reviewed,"Gate D remediation - review sweep: Form No.5's Beneficiary field renders only {{ procuring_entity.name }}, but source requires ""Beneficiary: [insert name and Address of Employer]"" (name AND address). The procuring_entity.address variable already exists and is used elsewhere (Form No.4). See open_issues.md Gate D remediation - review sweep findings, item 45. Resolved 2026-08-28 (Gate D second-round decision): Restored the Procuring Entity's full governed address on the Beneficiary field per product-owner decision (#45): now 'procuring_entity.name, procuring_entity.address'."
COV-282,97,98,Section VIII,FORM No. 6 - PERFORMANCE SECURITY [Option 2 - Performance Bond],form,Not used by this released pattern,,"N/A - unused competing variant, not published","N/A - unused competing variant, not published",Reviewed,"STD-TPL-001 S6: 'Official form variants | Select the permitted Tender security, performance security and other form variants; do not publish unused competing forms as active choices.' The source itself recommends the Unconditional Demand Bank Guarantee (Form No. 5) over the Performance Bond 'due to difficulties involved in calling Bond holder to action'; Form No. 5 is the selected variant."
COV-283,99,99,Section VIII,FORM NO. 7 - ADVANCE PAYMENT SECURITY [Demand Bank Guarantee],form,Not used by this released pattern,,N/A - form not included in the published package,N/A - form not included in the published package,Reviewed,Resolved 2026-08-28 (product owner): Version 1.0 does not permit advance payment. Advance payment is fixed at 0% as a release decision (not officer-selectable). Form No. 7 (Advance Payment Security) is excluded from complete_tender.html and never shown to the Procurement Officer or supplier.
COV-284,99,101,Section VIII,FORM NO. 8 BENEFICIAL OWNERSHIP DISCLOSURE FORM,form,Award-derived,award.beneficial_ownership.*,complete_tender.html - Section VIII - Form No. 8,completed only by the successful Tenderer after notification of award (S9.2 'We commit to provide ... upon receipt of notification of intention to enter into a contract'),Reviewed,
COV-285,99,99,Section VIII,Beneficial Ownership Disclosure Form - 'DELETE THIS BOX ONCE COMPLETED' instruction box,preparer_instruction,Locked,Section VIII - Form No. 8 (instruction box removed from the resolved output),complete_tender.html - Section VIII - Form No. 8,instruction box not present once the form is completed by the successful Tenderer,Reviewed,
COV-286,99,99,Section VIII,Beneficial Ownership Disclosure Form - Tender Reference/Title/PE name blanks,blank,Inherited,tender.reference; tender.title; procuring_entity.name,complete_tender.html - Section VIII - Form No. 8,"prefilled, matches Tender identity",Reviewed,
COV-287,99,100,Section VIII,Beneficial Ownership Disclosure Form - option I/II/III disclosure text and beneficial-owner details table,table,Award-derived,award.beneficial_ownership.owners[],complete_tender.html - Section VIII - Form No. 8,completed only by the successful Tenderer after award,Reviewed,
COV-288,101,101,Section VIII,Beneficial Ownership Disclosure Form - Tenderer name/signatory/date/stamp blanks,blank,Award-derived,award.beneficial_ownership.signatory,complete_tender.html - Section VIII - Form No. 8,completed only by the successful Tenderer after award,Reviewed,
COV-289,102,102,Section VIII,"PPRA address footer block (National Bank Building, Harambee Avenue)",cover_block,Not used by this released pattern,,"Excluded from complete_tender.html (this is PPRA's own publisher address on the master STD, not Tenderer-facing content)",N/A - page is discarded during curation,Reviewed,Consistent with Guideline 6 exclusion of front/back matter that identifies the PPRA STD master rather than the issued Tender.
COV-290,103,103,,Blank trailing page,cover_block,Not used by this released pattern,,N/A - no content,N/A - no content,Reviewed,Confirmed blank in the official source (visually verified all-white); consistent with open_issues.md Pass 1 item 1. No content is missing.
